attr,charge,id,mode,name,race,rare,skill1,skill2,skill3
水,消除任何符石 (只計算首批消除的符石),212,1,漩之重炮龍紋,,3,1 回合內，水屬性成員的攻擊力提升 15%,1 回合內，對單一敵人造成 15000 點水屬性傷害，此傷害無視防禦力,1 回合內，所受傷害不會使你死亡
水,消除水符石 (只計算首批消除的符石),213,2,漩之屏息龍印,,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為水符石,1 回合內，隊伍回復力提升 15%,1 回合內，隊伍攻擊力提升 20%
水,裝備此龍刻的召喚獸發動攻擊的次數,214,3,漩之幻變龍咒,,3,1 回合內，減少所受傷害 50%,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為水符石,隨機 3 個水成員的技能 CD 減少 1
水,消除任何符石 (只計算首批消除的符石),215,4,漩之狂暴龍符,,3,1 回合內，對全體敵人造成 12000 點無屬性傷害,1 回合內，水屬性成員的攻擊力提升 20%,延遲全體敵人行動 1 回合
水,連擊 (Combo) 達 4 或以上,216,7,漩之嗜血龍璃,,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1 回合內，所有成員無視屬性相剋
火,裝備此龍刻的召喚獸發動攻擊的次數,217,1,煉之嗜血龍紋,,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1 回合內，所有成員無視屬性相剋
火,消除任何符石 (只計算首批消除的符石),218,2,煉之重炮龍印,,3,1 回合內，火屬性成員的攻擊力提升 15%,1 回合內，對單一敵人造成 15000 點火屬性傷害，此傷害無視防禦力,1 回合內，所受傷害不會使你死亡
火,消除任何符石 (只計算首批消除的符石),219,3,煉之幻變龍咒,,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為火符石,1 回合內，隊伍回復力提升 15%,1 回合內，隊伍攻擊力提升 20%
火,連擊 (Combo) 達 4 或以上,220,4,煉之幻變龍符,,3,1 回合內，減少所受傷害 50%,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為火符石,隨機 3 個火成員的技能 CD 減少 1
火,消除火符石 (只計算首批消除的符石),221,7,煉之炮擊龍璃,,3,1 回合內，對全體敵人造成 12000 點無屬性傷害,1 回合內，火屬性成員的攻擊力提升 20%,延遲全體敵人行動 1 回合
木,消除木符石 (只計算首批消除的符石),222,1,森之狂暴龍紋,,3,1 回合內，對全體敵人造成 12000 點無屬性傷害,1 回合內，木屬性成員的攻擊力提升 20%,延遲全體敵人行動 1 回合
木,消除任何符石 (只計算首批消除的符石),223,2,森之嗜血龍印,,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1 回合內，所有成員無視屬性相剋
木,裝備此龍刻的召喚獸發動攻擊的次數,224,3,森之重炮龍咒,,3,1 回合內，木屬性成員的攻擊力提升 15%,1 回合內，對單一敵人造成 15000 點木屬性傷害，此傷害無視防禦力,1 回合內，所受傷害不會使你死亡
木,連擊 (Combo) 達 4 或以上,225,4,森之屏息龍符,,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為木符石,1 回合內，隊伍回復力提升 15%,1 回合內，隊伍攻擊力提升 20%
木,消除任何符石 (只計算首批消除的符石),226,7,森之鐵壁龍璃,,3,1 回合內，減少所受傷害 50%,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為木符石,隨機 3 個木成員的技能 CD 減少 1
光,消除任何符石 (只計算首批消除的符石),227,1,耀之鐵壁龍紋,,3,1 回合內，減少所受傷害 50%,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為光符石,隨機 3 個光成員的技能 CD 減少 1
光,裝備此龍刻的召喚獸發動攻擊的次數,228,2,耀之炮擊龍印,,3,1 回合內，對全體敵人造成 12000 點無屬性傷害,1 回合內，光屬性成員的攻擊力提升 20%,延遲全體敵人行動 1 回合
光,連擊 (Combo) 達 4 或以上,229,3,耀之嗜血龍咒,,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1 回合內，所有成員無視屬性相剋
光,消除光符石 (只計算首批消除的符石),230,4,耀之重炮龍符,,3,1 回合內，光屬性成員的攻擊力提升 15%,1 回合內，對單一敵人造成 15000 點光屬性傷害，此傷害無視防禦力,1 回合內，所受傷害不會使你死亡
光,消除任何符石 (只計算首批消除的符石),231,7,耀之屏息龍璃,,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為光符石,1 回合內，隊伍回復力提升 15%,1 回合內，隊伍攻擊力提升 20%
暗,連擊 (Combo) 達 4 或以上,232,1,影之屏息龍紋,,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為暗符石,1 回合內，隊伍回復力提升 15%,1 回合內，隊伍攻擊力提升 20%
暗,消除任何符石 (只計算首批消除的符石),233,2,影之屏息龍印,,3,1 回合內，減少所受傷害 50%,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為暗符石,1 回合內，回復 50% 生命力
暗,消除暗符石 (只計算首批消除的符石),234,3,影之炮擊龍咒,,3,1 回合內，對全體敵人造成 12000 點無屬性傷害,1 回合內，暗屬性成員的攻擊力提升 20%,延遲全體敵人行動 1 回合
暗,消除任何符石 (只計算首批消除的符石),235,4,影之破甲龍符,,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害),1 回合內，所有成員無視屬性相剋
暗,裝備此龍刻的召喚獸發動攻擊的次數,236,7,影之重炮龍璃,,3,1 回合內，暗屬性成員的攻擊力提升 15%,1 回合內，對單一敵人造成 15000 點暗屬性傷害，此傷害無視防禦力,1 回合內，所受傷害不會使你死亡
,裝備此龍刻的召喚獸發動攻擊的次數,237,8,攻之機暴龍結,,1,1 回合內，機械族成員的攻擊力提升 20%,,
,連擊 (Combo) 達 4 或以上,238,8,連之威嚇龍結,,2,1 回合內，隊伍攻擊力提升 15%,延遲暗屬性敵人行動 1 回合,
,連擊 (Combo) 達 4 或以上,239,8,連之狂暴龍結,,2,1 回合內，隊伍攻擊力提升 15%,延遲光屬性敵人行動 1 回合,
,消除任何符石 (只計算首批消除的符石),240,1,虛之機暴龍紋,機械族,3,隨機 2 個機械族成員的技能 CD 減少 2,1 回合內，機械族成員的攻擊力提升 30%,延遲全體敵人行動 1 回合
,裝備此龍刻的召喚獸發動攻擊的次數,241,3,攻之機暴龍咒,機械族,3,隨機 2 個機械族成員的技能 CD 減少 2,1 回合內，機械族成員的攻擊力提升 30%,1 回合內，無視攻前盾
,連擊 (Combo) 達 4 或以上,242,4,連之機暴龍符,機械族,3,隨機 2 個機械族成員的技能 CD 減少 2,1 回合內，機械族成員的攻擊力提升 30%,1 回合內，無視五屬盾
,消除任何符石 (只計算首批消除的符石),243,7,虛之機暴龍璃,機械族,3,隨機 2 個機械族成員的技能 CD 減少 2,1 回合內，機械族成員的攻擊力提升 30%,1 回合內，無視指定形狀盾
,裝備此龍刻的召喚獸發動攻擊的次數,244,2,攻之機暴龍印,機械族,3,隨機 2 個機械族成員的技能 CD 減少 2,1 回合內，機械族成員的攻擊力提升 30%,1 回合內，所受傷害不會使你死亡
,連擊 (Combo) 達 4 或以上,245,8,連之機暴龍結,機械族,3,隨機 2 個機械族成員的技能 CD 減少 2,1 回合內，機械族成員的攻擊力提升 30%,1 回合內，所有成員無視屬性相剋
,消除任何符石 (只計算首批消除的符石),246,9,虛之狂暴龍丸,,1,1 回合內，隊伍攻擊力提升 10%,,
水,消除水符石 (只計算首批消除的符石),247,9,漩之屏息龍丸,,2,1 回合內，水屬性成員的攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,
火,消除火符石 (只計算首批消除的符石),248,9,煉之屏息龍丸,,2,1 回合內，火屬性成員的攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,
木,消除木符石 (只計算首批消除的符石),249,9,森之屏息龍丸,,2,1 回合內，木屬性成員的攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,
光,消除光符石 (只計算首批消除的符石),250,9,耀之屏息龍丸,,2,1 回合內，光屬性成員的攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,
暗,消除暗符石 (只計算首批消除的符石),251,9,影之屏息龍丸,,2,1 回合內，暗屬性成員的攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,
,連擊 (Combo) 達 4 或以上,252,9,連之屏息龍丸,,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,延遲全體敵人行動 1 回合
,連擊 (Combo) 達 4 或以上,253,9,連之狂暴龍丸,,3,1 回合內，隊伍攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,1 回合內，對全體敵人造成 100000 點無屬性傷害
水,消除水符石 (只計算首批消除的符石),254,9,漩之狂暴龍丸,,3,隨機 2 個水成員的技能 CD 減少 1,1 回合內，水屬性成員的攻擊力提升 25%,1 回合內，所有成員無視屬性相剋
火,消除火符石 (只計算首批消除的符石),255,9,煉之狂暴龍丸,,3,隨機 2 個火成員的技能 CD 減少 1,1 回合內，火屬性成員的攻擊力提升 25%,1 回合內，所有成員無視屬性相剋
木,消除木符石 (只計算首批消除的符石),256,9,森之狂暴龍丸,,3,隨機 2 個木成員的技能 CD 減少 1,1 回合內，木屬性成員的攻擊力提升 25%,1 回合內，所有成員無視屬性相剋
光,消除光符石 (只計算首批消除的符石),257,9,耀之狂暴龍丸,,3,隨機 2 個光成員的技能 CD 減少 1,1 回合內，光屬性成員的攻擊力提升 25%,1 回合內，回復 50% 生命力
暗,消除暗符石 (只計算首批消除的符石),258,9,影之狂暴龍丸,,3,隨機 2 個暗成員的技能 CD 減少 1,1 回合內，暗屬性成員的攻擊力提升 25%,1 回合內，敵方所受傷害的 3% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害)
,裝備此龍刻的召喚獸發動攻擊的次數,259,9,連之越時龍丸,神族,3,1 回合內，神族成員的攻擊力提升 20%,隨機 3 個神族成員的技能 CD 減少 2,1 回合內，對全體敵人造成 100000 點無屬性傷害
,消除任何符石 (只計算首批消除的符石),260,9,虛之越時龍丸,魔族,3,1 回合內，魔族成員的攻擊力提升 20%,隨機 3 個魔族成員的技能 CD 減少 2,1 回合內，所受傷害不會使你死亡
,裝備此龍刻的召喚獸發動攻擊的次數,261,9,連之王暴龍丸,人類,3,1 回合內，人類成員的攻擊力提升 20%,隨機 3 個人類成員的技能 CD 減少 2,延遲全體敵人行動 1 回合
,消除任何符石 (只計算首批消除的符石),262,9,虛之獸暴龍丸,獸類,3,1 回合內，獸類成員的攻擊力提升 20%,隨機 3 個獸類成員的技能 CD 減少 2,1 回合內，敵方所受傷害的 5% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害)
,裝備此龍刻的召喚獸發動攻擊的次數,263,9,連之龍暴龍丸,龍類,3,1 回合內，龍類成員的攻擊力提升 20%,隨機 3 個龍類成員的技能 CD 減少 2,1 回合內，所有成員無視屬性相剋
,消除任何符石 (只計算首批消除的符石),264,9,虛之妖暴龍丸,妖精類,3,1 回合內，妖精類成員的攻擊力提升 20%,隨機 3 個妖精類成員的技能 CD 減少 2,1 回合內，無視五屬盾
,裝備此龍刻的召喚獸發動攻擊的次數,265,9,連之機暴龍丸,機械族,3,1 回合內，機械族成員的攻擊力提升 20%,隨機 3 個機械族成員的技能 CD 減少 2,1 回合內，無視指定形狀盾
火,裝備此龍刻的召喚獸發動攻擊的次數,266,9,煉之機暴龍丸,機械族,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為火符石,1 回合內，機械族成員的攻擊力提升 30%,隨機 4 個機械族成員的技能 CD 減少 2
木,裝備此龍刻的召喚獸發動攻擊的次數,267,9,森之機暴龍丸,機械族,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，機械族成員的攻擊力提升 30%,完成龍刻脈動後，隨機把 3 直行的符石轉化為木符石
水,消除水符石 (只計算首批消除的符石),268,1,漩之魔暴龍紋,魔族,3,1 回合內，所有成員無視屬性相剋,1 回合內，魔族成員的攻擊力提升 35%,隨機 4 個魔族成員的技能 CD 減少 2
水,消除水符石 (只計算首批消除的符石),269,3,漩之王暴龍咒,人類,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為水符石,1 回合內，人類成員的攻擊力提升 35%,1 回合內，回復 50% 生命力
水,消除水符石 (只計算首批消除的符石),270,2,漩之神暴龍印,神族,3,1 回合內，對單一敵人造成 35000 點水屬性傷害，此傷害無視防禦力,1 回合內，神族成員的攻擊力提升 35%,1 回合內，無視五屬盾
水,消除水符石 (只計算首批消除的符石),271,4,漩之妖暴龍符,妖精類,3,1 回合內，迴避木屬性敵人的攻擊,1 回合內，妖精類成員的攻擊力提升 35%,隨機 4 個妖精類成員的技能 CD 減少 2
火,消除火符石 (只計算首批消除的符石),272,1,煉之妖暴龍紋,妖精類,3,1 回合內，所有成員無視屬性相剋,1 回合內，妖精類成員的攻擊力提升 35%,延遲全體敵人行動 1 回合
火,消除火符石 (只計算首批消除的符石),273,3,煉之龍暴龍咒,龍類,3,隨機 3 個火成員的技能 CD 減少 2,1 回合內，龍類成員的攻擊力提升 35%,1 回合內，回復 50% 生命力
火,消除火符石 (只計算首批消除的符石),274,7,煉之獸暴龍璃,獸類,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為火符石,1 回合內，獸類成員的攻擊力提升 35%,隨機 4 個獸類成員的技能 CD 減少 2
木,消除木符石 (只計算首批消除的符石),275,1,森之獸暴龍紋,獸類,3,1 回合內，對單一敵人造成 35000 點木屬性傷害，此傷害無視防禦力,1 回合內，獸類成員的攻擊力提升 35%,1 回合內，無視五屬盾
木,消除木符石 (只計算首批消除的符石),276,1,森之神暴龍紋,神族,3,隨機 3 個木成員的技能 CD 減少 2,1 回合內，神族成員的攻擊力提升 35%,1 回合內，所受傷害不會使你死亡
木,消除木符石 (只計算首批消除的符石),277,2,森之王暴龍印,人類,3,1 回合內，所有成員無視屬性相剋,1 回合內，人類成員的攻擊力提升 35%,1 回合內，敵方所受傷害的 5% 轉化為我方生命力，最大為生命力等值的50% (傷害轉化效果不能疊加，並不計算主動及隊長技傷害)
木,消除木符石 (只計算首批消除的符石),278,4,森之妖暴龍符,妖精類,3,隨機 3 個木成員的技能 CD 減少 2,1 回合內，妖精類成員的攻擊力提升 35%,完成龍刻脈動後，隨機把 2 直行的符石轉化為木符石
光,消除光符石 (只計算首批消除的符石),279,1,耀之龍暴龍紋,龍類,3,隨機 3 個光成員的技能 CD 減少 2,1 回合內，龍類成員的攻擊力提升 35%,完成龍刻脈動後，隨機把 2 直行的符石轉化為光符石
光,消除光符石 (只計算首批消除的符石),280,3,耀之獸暴龍咒,獸類,3,1 回合內，敵人全體的防禦力減少 80%,1 回合內，獸類成員的攻擊力提升 35%,1 回合內，完全回復生命力
光,消除光符石 (只計算首批消除的符石),281,7,耀之魔暴龍璃,魔族,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為光符石,1 回合內，魔族成員的攻擊力提升 35%,1 回合內，無視攻前盾
光,消除光符石 (只計算首批消除的符石),282,4,耀之王暴龍符,人類,3,1 回合內，對單一敵人造成 35000 點光屬性傷害，此傷害無視防禦力,1 回合內，人類成員的攻擊力提升 35%,隨機 4 個人類成員的技能 CD 減少 2
暗,消除暗符石 (只計算首批消除的符石),283,1,影之妖暴龍紋,妖精類,3,1 回合內，迴避水屬性敵人的攻擊,1 回合內，妖精類成員的攻擊力提升 35%,隨機 3 個妖精類成員的技能 CD 減少 2
暗,消除暗符石 (只計算首批消除的符石),284,3,影之神暴龍咒,神族,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為暗符石,1 回合內，神族成員的攻擊力提升 35%,1 回合內，無視五屬盾
暗,消除暗符石 (只計算首批消除的符石),285,2,影之龍暴龍印,龍類,3,1 回合內，減少所受傷害 50%,1 回合內，龍類成員的攻擊力提升 35%,延遲全體敵人行動 1 回合
暗,消除暗符石 (只計算首批消除的符石),286,7,影之獸暴龍璃,獸類,3,隨機 3 個獸類成員的技能 CD 減少 2,1 回合內，獸類成員的攻擊力提升 35%,完成龍刻脈動後，隨機把 3 直行的符石轉化為暗符石
,消除任何符石 (只計算首批消除的符石),287,1,虛之炮擊龍紋,,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，對全體敵人造成 25000 點無屬性傷害,隨機 3 個火成員的技能 CD 減少 2
,消除任何符石 (只計算首批消除的符石),288,3,虛之炮擊龍咒,,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，對全體敵人造成 25000 點無屬性傷害,隨機 3 個暗成員的技能 CD 減少 2
,消除任何符石 (只計算首批消除的符石),289,2,虛之炮擊龍印,,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，對全體敵人造成 25000 點無屬性傷害,隨機 3 個水成員的技能 CD 減少 2
,消除任何符石 (只計算首批消除的符石),290,4,虛之炮擊龍符,,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，對全體敵人造成 25000 點無屬性傷害,隨機 3 個木成員的技能 CD 減少 2
,消除任何符石 (只計算首批消除的符石),291,6,虛之炮擊龍刃,,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，對全體敵人造成 25000 點無屬性傷害,隨機 3 個光成員的技能 CD 減少 2
,消除任何符石 (只計算首批消除的符石),292,9,虛之炮擊龍丸,,3,1 回合內，隊伍攻擊力及回復力提升 15%,1 回合內，對全體敵人造成 25000 點無屬性傷害,1 回合內，所有成員無視屬性相剋
,裝備此龍刻的召喚獸發動攻擊的次數,293,1,攻之妖暴龍紋,,3,1 回合內，隊伍回復力提升 50%,1 回合內，妖精類成員的攻擊力提升 30%,隨機 3 個妖精類成員的技能 CD 減少 2
,裝備此龍刻的召喚獸發動攻擊的次數,294,3,攻之獸暴龍咒,,3,1 回合內，隊伍回復力提升 50%,1 回合內，獸類成員的攻擊力提升 30%,隨機 3 個獸類成員的技能 CD 減少 2
,裝備此龍刻的召喚獸發動攻擊的次數,295,2,攻之越時龍印,,3,1 回合內，隊伍回復力提升 50%,1 回合內，魔族成員的攻擊力提升 30%,隨機 3 個魔族成員的技能 CD 減少 2
,裝備此龍刻的召喚獸發動攻擊的次數,296,4,攻之神暴龍符,,3,1 回合內，隊伍回復力提升 50%,1 回合內，神族成員的攻擊力提升 30%,隨機 3 個神族成員的技能 CD 減少 2
,裝備此龍刻的召喚獸發動攻擊的次數,297,6,攻之王暴龍刃,,3,1 回合內，隊伍回復力提升 50%,1 回合內，人類成員的攻擊力提升 30%,隨機 3 個人類成員的技能 CD 減少 2
,裝備此龍刻的召喚獸發動攻擊的次數,298,9,攻之龍暴龍丸,,3,1 回合內，隊伍回復力提升 50%,1 回合內，龍類成員的攻擊力提升 30%,隨機 3 個龍類成員的技能 CD 減少 2
,連擊 (Combo) 達 4 或以上,299,1,連之幻變龍紋,,3,1 回合內，迴避水屬性敵人的攻擊,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為木符石,隨機 3 個木成員的技能 CD 減少 2
,連擊 (Combo) 達 4 或以上,300,3,連之幻變龍咒,,3,1 回合內，迴避火屬性敵人的攻擊,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為水符石,隨機 3 個水成員的技能 CD 減少 2
,連擊 (Combo) 達 4 或以上,301,2,連之幻變龍印,,3,1 回合內，迴避木屬性敵人的攻擊,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為火符石,隨機 3 個火成員的技能 CD 減少 2
,連擊 (Combo) 達 4 或以上,302,4,連之幻變龍符,,3,1 回合內，迴避光屬性敵人的攻擊,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為暗符石,隨機 3 個暗成員的技能 CD 減少 2
,連擊 (Combo) 達 4 或以上,303,6,連之靈巧龍刃,,3,1 回合內，迴避暗屬性敵人的攻擊,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為光符石,隨機 3 個光成員的技能 CD 減少 2
,連擊 (Combo) 達 4 或以上,304,9,連之邃矚龍丸,,3,1 回合內，所有成員無視屬性相剋,1 回合內，隊伍攻擊力提升 20%,1 回合內，完全回復生命力
光,消除光符石 (只計算首批消除的符石),305,7,耀之越時龍璃,人類,3,隨機 3 個光成員的技能 CD 減少 2,1 回合內，人類成員的攻擊力提升 30%,1 回合內，無視攻前盾
暗,消除暗符石 (只計算首批消除的符石),306,9,影之越時龍丸,人類,3,完成龍刻脈動後，將場上數量最多的 1 種符石轉化為暗符石,隨機 3 個暗成員的技能 CD 減少 2,1 回合內，人類成員的攻擊力提升 40%
木,裝備此龍刻的召喚獸發動攻擊的次數,316,10,森之屏息龍弦,,2,1 回合內，木屬性成員的攻擊力提升 15%,1 回合內，隊伍回復力提升 30%,
,消除任何符石 (只計算首批消除的符石),329,10,攻之玲瓏龍弦 I,,1,1 回合內，隊伍攻擊力及回復力提升 10%,,
